%
Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE A = A[31] A[30] A[29] A[28] A[27] A[26] A[25] A[24] A[23] A[22] A[21] A[20] A[19] A[18] A[17] A[16] A[15] A[14] A[13] A[12] A[11] A[10] A[9] A[8] A[7] A[6] A[5] A[4] A[3] A[2] A[1] A[0] ;
GROUP CREATE B = B[31] B[30] B[29] B[28] B[27] B[26] B[25] B[24] B[23] B[22] B[21] B[20] B[19] B[18] B[17] B[16] B[15] B[14] B[13] B[12] B[11] B[10] B[9] B[8] B[7] B[6] B[5] B[4] B[3] B[2] B[1] B[0] ;
GROUP CREATE S = S[32] S[31] S[30] S[29] S[28] S[27] S[26] S[25] S[24] S[23] S[22] S[21] S[20] S[19] S[18] S[17] S[16] S[15] S[14] S[13] S[12] S[11] S[10] S[9] S[8] S[7] S[6] S[5] S[4] S[3] S[2] S[1] S[0] ;
INPUTS A B Cin;
OUTPUTS S;
UNIT ns;
RADIX HEX;
PATTERN
216.808> FFFFFFFF 00000001 0 = 103200400 
216.835> FFFFFFFF 00000001 0 = 103000400 
216.907> FFFFFFFF 00000001 0 = 103000420 
217.156> FFFFFFFF 00000001 0 = 101000420 
217.236> FFFFFFFF 00000001 0 = 101000460 
217.298> FFFFFFFF 00000001 0 = 101000420 
217.334> FFFFFFFF 00000001 0 = 101000400 
217.449> FFFFFFFF 00000001 0 = 101000420 
217.453> FFFFFFFF 00000001 0 = 100000420 
217.506> FFFFFFFF 00000001 0 = 108000420 
217.541> FFFFFFFF 00000001 0 = 108010420 
 217.57> FFFFFFFF 00000001 0 = 108010400 
217.611> FFFFFFFF 00000001 0 = 108010440 
217.653> FFFFFFFF 00000001 0 = 100010440 
217.661> FFFFFFFF 00000001 0 = 100410440 
217.669> FFFFFFFF 00000001 0 = 100400440 
217.838> FFFFFFFF 00000001 0 = 120400440 
217.887> FFFFFFFF 00000001 0 = 1204004C0 
217.906> FFFFFFFF 00000001 0 = 1204204C0 
217.949> FFFFFFFF 00000001 0 = 120420440 
217.985> FFFFFFFF 00000001 0 = 100420440 
217.992> FFFFFFFF 00000001 0 = 100420040 
218.034> FFFFFFFF 00000001 0 = 100400040 
218.038> FFFFFFFF 00000001 0 = 100400000 
218.072> FFFFFFFF 00000001 0 = 100000000 
 218.11> FFFFFFFF 00000001 0 = 104000000 
218.153> FFFFFFFF 00000001 0 = 104000040 
218.161> FFFFFFFF 00000001 0 = 104800040 
218.184> FFFFFFFF 00000001 0 = 114800040 
218.262> FFFFFFFF 00000001 0 = 1148000C0 
218.274> FFFFFFFF 00000001 0 = 114800080 
218.331> FFFFFFFF 00000001 0 = 104800080 
218.572> FFFFFFFF 00000001 0 = 104000080 
218.689> FFFFFFFF 00000001 0 = 104000000 
 218.74> FFFFFFFF 00000001 0 = 184000000 
218.755> FFFFFFFF 00000001 0 = 180000000 
218.792> FFFFFFFF 00000001 0 = 182000000 
218.804> FFFFFFFF 00000001 0 = 182000080 
218.887> FFFFFFFF 00000001 0 = 102000080 
218.925> FFFFFFFF 00000001 0 = 102000000 
219.008> FFFFFFFF 00000001 0 = 002000000 
219.089> FFFFFFFF 00000001 0 = 003000000 
219.155> FFFFFFFF 00000001 0 = 103000000 
219.203> FFFFFFFF 00000001 0 = 101000000 
219.269> FFFFFFFF 00000001 0 = 101000200 
  219.5> FFFFFFFF 00000001 0 = 100000200 
219.622> FFFFFFFF 00000001 0 = 100001200 
219.681> FFFFFFFF 00000001 0 = 100001A00 
219.696> FFFFFFFF 00000001 0 = 100001800 
219.811> FFFFFFFF 00000001 0 = 100001A00 
219.932> FFFFFFFF 00000001 0 = 100001800 
220.388> FFFFFFFF 00000001 0 = 100001900 
220.391> FFFFFFFF 00000001 0 = 104001900 
220.518> FFFFFFFF 00000001 0 = 10C001900 
220.777> FFFFFFFF 00000001 0 = 14C001900 
220.802> FFFFFFFF 00000001 0 = 148001900 
220.815> FFFFFFFF 00000001 0 = 148001800 
 220.85> FFFFFFFF 00000001 0 = 168001800 
220.924> FFFFFFFF 00000001 0 = 128001800 
 220.93> FFFFFFFF 00000001 0 = 128001900 
221.051> FFFFFFFF 00000001 0 = 128001800 
221.196> FFFFFFFF 00000001 0 = 138001800 
221.217> FFFFFFFF 00000001 0 = 138005800 
221.291> FFFFFFFF 00000001 0 = 130005800 
221.415> FFFFFFFF 00000001 0 = 13000D800 
221.481> FFFFFFFF 00000001 0 = 13004D800 
221.609> FFFFFFFF 00000001 0 = 13000D800 
221.623> FFFFFFFF 00000001 0 = 11000D800 
221.752> FFFFFFFF 00000001 0 = 19000D800 
221.776> FFFFFFFF 00000001 0 = 19008D800 
221.804> FFFFFFFF 00000001 0 = 19008C800 
221.863> FFFFFFFF 00000001 0 = 19008C000 
221.904> FFFFFFFF 00000001 0 = 19000C000 
221.969> FFFFFFFF 00000001 0 = 18000C000 
 222.02> FFFFFFFF 00000001 0 = 08000C000 
222.404> FFFFFFFF 00000001 0 = 08010C000 
222.525> FFFFFFFF 00000001 0 = 00010C000 
222.532> FFFFFFFF 00000001 0 = 00000C000 
222.604> FFFFFFFF 00000001 0 = 00000E000 
222.793> FFFFFFFF 00000001 0 = 10000E000 
223.217> FFFFFFFF 00000001 0 = 10800E000 
223.399> FFFFFFFF 00000001 0 = 10800A000 
223.549> FFFFFFFF 00000001 0 = 12800A000 
223.597> FFFFFFFF 00000001 0 = 128002000 
223.789> FFFFFFFF 00000001 0 = 168002000 
223.862> FFFFFFFF 00000001 0 = 160002000 
223.895> FFFFFFFF 00000001 0 = 170002000 
224.194> FFFFFFFF 00000001 0 = 150002000 
224.451> FFFFFFFF 00000001 0 = 1D0002000 
 224.54> FFFFFFFF 00000001 0 = 1C0002000 
224.562> FFFFFFFF 00000001 0 = 180002000 
